cycle,state_id,value
0,1,0.7121955752372742
0,2,0.3974975645542145
0,10,0.20341406762599945
1,1,0.6503382921218872
1,2,0.40802040696144104
1,3,0.11352615803480148
2,1,0.7093878388404846
2,2,0.4343584179878235
2,4,0.009547135792672634
3,3,0.18559084832668304
3,9,0.05511562153697014
4,2,0.36306726932525635
5,1,0.7216470837593079
5,2,0.43749070167541504
5,10,0.21651075780391693
6,2,0.41687458753585815
6,7,0.19197554886341095
7,2,0.3538670539855957
7,6,0.5282154679298401
7,10,0.010592550039291382
8,2,0.43965432047843933
8,8,0.2804197371006012
8,10,0.13591305911540985
9,2,0.379041850566864
9,3,0.8541065454483032
10,1,0.19598950445652008
10,2,0.3610786497592926
10,4,0.16602696478366852
10,7,0.29786360263824463
11,2,0.3609302341938019
11,3,0.8770107626914978
11,6,0.06811537593603134
11,7,0.18336233496665955
11,10,0.16270408034324646
12,1,0.6613319516181946
12,2,0.3525732159614563
13,1,0.7448418736457825
13,2,0.4256671965122223
13,3,0.288770467042923
13,5,0.18096736073493958
13,7,0.1272914856672287
14,2,0.3506779968738556
14,3,0.10638651996850967
15,1,0.8729090094566345
15,2,0.385832816362381
15,8,0.29469260573387146
16,2,0.3625071346759796
17,1,0.0320269875228405
17,2,0.37020424008369446
17,5,0.021674975752830505
17,10,0.25298255681991577
19,2,0.4437502324581146
19,6,0.23304089903831482
19,8,0.14299777150154114
20,2,0.4191819131374359
20,5,0.23573346436023712
21,1,0.833748459815979
22,3,0.1578962802886963
22,5,0.046165913343429565
22,6,0.13018177449703217
23,2,0.3531390428543091
24,2,0.4139382541179657
24,6,0.253518670797348
24,7,0.1367911547422409
25,2,0.3697773814201355
26,1,0.24456384778022766
26,2,0.46141305565834045
27,1,0.007938453927636147
27,2,0.4399576187133789
28,1,0.04107988253235817
28,2,0.38389357924461365
30,2,0.36171796917915344
30,6,0.18553970754146576
31,2,0.38107264041900635
31,7,0.2899543344974518
32,1,0.7262539267539978
32,2,0.35264772176742554
32,8,0.148376002907753
33,2,0.4025735855102539
34,2,0.4380411207675934
35,2,0.36154499650001526
35,3,0.21400824189186096
35,6,0.28170159459114075
35,10,0.05610167980194092
36,2,0.36448758840560913
36,4,0.18862438201904297
36,5,0.25825035572052
36,6,0.28005251288414
37,1,0.26932981610298157
37,2,0.44901683926582336
37,4,0.004678705707192421
37,5,0.1423519402742386
38,1,0.7010464072227478
38,2,0.41784876585006714
39,2,0.37945178151130676
40,1,0.7016257643699646
40,3,0.8906158208847046
41,2,0.39409759640693665
41,5,0.2116481363773346
41,6,0.2142672836780548
43,2,0.38165953755378723
43,3,0.21156196296215057
44,2,0.44210970401763916
44,3,0.8911126255989075
45,2,0.3790055811405182
46,2,0.39546501636505127
47,2,0.4499315321445465
48,2,0.43766623735427856
49,2,0.3637213706970215
49,3,0.8982312679290771
49,5,0.22990554571151733
49,10,0.18705855309963226
